Epoch,Phase,Loss,Dice,IOU
1,train,15.20106828212738,6.540371576944987,4.881808161735535
1,val,1.9871083974838257,0.42887829542160033,0.2732838273048401
2,train,19.323922713597614,5.3253196974595385,3.3018325914939246
2,val,0.992493212223053,0.380831778049469,0.23555198013782502
3,train,12.836511055628458,6.406870881716411,4.139554381370544
3,val,0.6026250004768372,0.6286272644996643,0.45999879837036134
4,train,7.1113134821256,10.359485308329264,8.191418667634329
4,val,0.5744503140449524,0.8388171434402466,0.7230386376380921
5,train,30.796253124872845,7.939753194650014,6.652077833811442
5,val,0.43974698185920713,0.8462395071983337,0.7343547821044922
6,train,6.198454240957896,11.863557994365692,10.122164686520895
6,val,0.4202067911624908,0.8105811834335327,0.6822258472442627
7,train,6.683994074662526,11.223347028096518,9.231287976106008
7,val,0.49234575033187866,0.7648497939109802,0.6197213649749755
8,train,7.618686765432358,10.746076623598734,8.627706388632456
8,val,0.3783460438251495,0.8292965173721314,0.7096370697021485
9,train,5.505329767862956,11.972135365009308,10.291249255339304
9,val,0.31620835363864896,0.8727538466453553,0.7749736189842225
10,train,4.209865768750508,12.615579982598623,11.266298512617746
10,val,0.2626697212457657,0.8912288784980774,0.8043146252632141
11,train,3.14376991490523,12.97026813030243,11.849016726016998
11,val,0.23783652782440184,0.9028121590614319,0.8232295036315918
12,train,3.257579118013382,12.914548695087433,11.760224481423696
12,val,0.2657286196947098,0.8978227496147155,0.8150002479553222
13,train,3.137832353512446,13.117581288019815,12.094701925913492
13,val,0.2329563856124878,0.9077604532241821,0.8329257011413574
14,train,2.5373101755976677,13.221677839756012,12.27614676952362
14,val,0.16399775296449662,0.9295611262321473,0.869195532798767
15,train,1.7009299000104268,13.572376747926077,12.889834702014923
15,val,0.9040927529335022,0.7153416037559509,0.564496648311615
16,train,11.993685166041056,9.217205693324408,6.939356247584025
16,val,0.49019854366779325,0.8044266819953918,0.6762914657592773
17,train,5.809820334116618,11.881942947705587,10.269470731417337
17,val,0.23109541684389115,0.9190388441085815,0.8510458588600158
18,train,3.2783526380856833,13.242043495178223,12.305549601713816
18,val,0.29315482676029203,0.9072317719459534,0.8310429453849792
19,train,3.9072143137454987,13.098281999429068,12.059800108273825
19,val,0.28644915819168093,0.905793309211731,0.828452181816101
20,train,3.5794296662012735,13.12455528974533,12.104372441768646
20,val,0.22311685085296631,0.9209468007087708,0.854014265537262
21,train,4.244964083035787,13.336353460947672,12.47175802787145
21,val,1.0042459607124328,0.7762820601463318,0.6445882499217988
22,train,8.10868114233017,12.246137122313181,10.795102834701538
22,val,0.3220768868923187,0.8621704816818238,0.7589889287948608
23,train,4.340037763118744,12.27880092461904,10.742765188217163
23,val,0.29640342593193053,0.8479486465454101,0.7364219069480896
24,train,3.781567553679148,12.378921071688334,10.895321726799011
24,val,0.24122203886508942,0.8828145027160644,0.7906506419181824
25,train,3.0076608459154763,12.838179032007853,11.626818716526031
25,val,0.20716225504875183,0.9097191095352173,0.8350715279579163
26,train,2.4728432993094125,13.186383962631226,12.210810720920563
26,val,0.18763900697231292,0.9305249571800231,0.871179711818695
27,train,1.7628486156463623,13.597967565059662,12.934773226579031
27,val,1.1357471108436585,0.7360331535339355,0.6041538298130036
28,train,10.018664081891378,10.520600418249765,8.316844999790192
28,val,0.9724026322364807,0.5642006993293762,0.3938062787055969
29,train,10.755923589070639,9.56179690361023,7.2278258601824446
29,val,0.4389716386795044,0.7750959277153016,0.6345650911331177
30,train,6.117792179187139,11.298760612805685,9.327326754728952
30,val,0.34395949840545653,0.8231382966041565,0.7000884771347046
